SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
1,0.884046381,55,0,3477.0,,7,0,3,0,4.0
0,0.18456556899999998,67,0,173.0,,3,0,0,0,
0,0.26990992399999997,53,0,204.0,,2,0,0,0,0.0
0,0.9999998999999999,42,0,3388.0,0.0,5,0,2,0,2.0
0,0.9999998999999999,38,0,0.009088155,3300.0,1,1,0,0,5.0
0,0.0,46,0,0.42950391600000004,9191.0,4,0,2,0,3.0
0,0.020783499,61,0,0.012489591999999999,1200.0,2,0,0,0,0.0
0,0.008476451999999999,49,1,0.092944859,8305.0,15,0,1,0,2.0
0,0.580268025,65,0,0.547738033,7603.0,14,0,3,0,0.0
0,0.0,57,0,0.373508433,15000.0,12,0,2,0,2.0
1,1.019996429,36,0,0.049723757,3800.0,1,0,0,0,0.0
0,0.590404177,35,0,1.058823529,4368.0,5,0,2,0,1.0
1,0.567883426,54,0,1.078273592,4100.0,13,4,2,0,0.0
0,0.167135263,63,0,0.40088776200000004,7884.0,16,0,2,0,0.0
0,0.151934218,50,3,0.207237557,9201.0,5,0,1,0,0.0
0,0.151621385,43,0,3492.0,,11,0,2,0,0.0
1,0.931133608,47,1,0.50429914,5000.0,6,3,1,0,2.0
0,0.042327607,73,0,0.17309340199999998,3500.0,9,0,1,0,0.0
0,0.019926777,75,0,0.004959207,6250.0,3,0,0,0,0.0
0,0.027424313999999998,45,0,1232.0,,5,0,1,0,0.0
1,0.162909136,55,0,2.323870452,2500.0,10,0,4,0,2.0
0,0.9999998999999999,62,0,0.091902211,18856.0,3,0,1,0,0.0
0,0.9999998999999999,48,0,0.09790893099999999,5116.0,2,0,0,0,1.0
0,0.326557814,25,0,0.019903912,1456.0,3,0,0,0,1.0
1,0.9999998999999999,45,0,0.016935319,4900.0,0,0,0,0,0.0
0,0.46609024600000004,59,1,0.104772061,3750.0,3,0,0,0,0.0
0,0.069635602,59,0,0.006189887,10500.0,4,0,0,0,0.0
1,0.957295982,31,0,0.954321393,3042.0,12,0,2,0,3.0
0,0.294369743,36,0,0.634356762,3940.0,16,0,2,0,0.0
